,Phylum,Class,Order,Family,Genus,Species
otu430,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Paucibacter,s:arsenic-oxidizing_bacterium_C05
otu4300,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
otu4301,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Paludibacter,
otu4302,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Leadbetterella,
otu4303,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Saprospiraceae,,
otu4304,,,,,,
otu4305,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,
otu4306,p:Proteobacteria,c:Gammaproteobacteria,o:Methylococcales,f:Crenotrichaceae,g:Crenothrix,
otu4307,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Sporichthyaceae,g:hgcI_clade,
otu4308,,,,,,
otu4309,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Paludibacter,
otu431,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,
otu4310,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Sporichthyaceae,,
otu4311,p:Proteobacteria,,,,,
otu4312,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,
otu4313,p:Proteobacteria,,,,,
otu4314,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,
otu4315,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,,
otu4316,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,
otu4317,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,
otu4318,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
otu4319,,,,,,
otu432,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Microbacter,
otu4320,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Pantoea,
otu4321,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
otu4322,p:Proteobacteria,,,,,
otu4323,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,
otu4324,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,,
otu4325,p:Proteobacteria,,,,,
otu4326,p:Proteobacteria,c:Alphaproteobacteria,,,,
otu4327,p:Proteobacteria,,,,,
otu4328,p:Proteobacteria,,,,,
otu4329,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Pirellula,
